Name;New_Measure_24-04-2023;
Description;;
Measure-Intervall;00:00:00.0040000;
;;

Time SN:540273 (S30X):P1;SN:540273 (S30X):P1 bar;Time SN:540273 (S30X):TOB1;SN:540273 (S30X):TOB1 °C;
24.04.2023 22:34:54.402;0,0002387;24.04.2023 22:34:54.431;13,0061035;
24.04.2023 22:34:54.461;0,0002894;24.04.2023 22:34:54.493;13,0061035;
24.04.2023 22:34:54.525;0,0002908;24.04.2023 22:34:54.557;13,0061035;
24.04.2023 22:34:54.589;0,0002637;24.04.2023 22:34:54.621;13,0061035;
24.04.2023 22:34:54.653;0,0003037;24.04.2023 22:34:54.685;13,0061035;
24.04.2023 22:34:54.717;0,0003116;24.04.2023 22:34:54.749;13,0061035;
24.04.2023 22:34:54.781;0,0002025;24.04.2023 22:34:54.813;13,0061035;
24.04.2023 22:34:54.845;0,0001689;24.04.2023 22:34:54.877;13,0061035;
24.04.2023 22:34:54.909;9,58E-05;24.04.2023 22:34:54.941;13,0178223;
24.04.2023 22:34:54.973;6,9E-06;24.04.2023 22:34:54.991;13,0178223;
24.04.2023 22:34:55.023;3,78E-05;24.04.2023 22:34:55.056;13,0178223;
24.04.2023 22:34:55.087;-2,81E-05;24.04.2023 22:34:55.119;13,0178223;
24.04.2023 22:34:55.151;-9,85E-05;24.04.2023 22:34:55.183;13,0178223;
24.04.2023 22:34:55.215;-8,68E-05;24.04.2023 22:34:55.247;13,0178223;
24.04.2023 22:34:55.279;-0,0001101;24.04.2023 22:34:55.311;13,0178223;
24.04.2023 22:34:55.343;-0,0001714;24.04.2023 22:34:55.375;13,0178223;
24.04.2023 22:34:55.407;-0,0002161;24.04.2023 22:34:55.439;13,0178223;
24.04.2023 22:34:55.471;-0,000196;24.04.2023 22:34:55.503;13,0178223;
24.04.2023 22:34:55.535;-0,0001524;24.04.2023 22:34:55.567;13,0178223;
24.04.2023 22:34:55.599;-0,0001315;24.04.2023 22:34:55.619;13,0178223;
24.04.2023 22:34:55.650;-0,0001505;24.04.2023 22:34:55.682;13,0178223;
24.04.2023 22:34:55.714;-6,71E-05;24.04.2023 22:34:55.746;13,0178223;
24.04.2023 22:34:55.777;-2,6E-05;24.04.2023 22:34:55.810;13,0178223;
24.04.2023 22:34:55.842;1,13E-05;24.04.2023 22:34:55.874;13,0178223;
24.04.2023 22:34:55.906;-1,22E-05;24.04.2023 22:34:55.938;13,1337891;
24.04.2023 22:34:55.969;-0,000207;24.04.2023 22:34:56.001;13,1337891;
24.04.2023 22:34:56.033;-0,0001565;24.04.2023 22:34:56.075;13,1337891;
24.04.2023 22:34:56.097;-0,0001692;24.04.2023 22:34:56.129;13,1337891;
24.04.2023 22:34:56.161;-0,0001989;24.04.2023 22:34:56.193;13,1337891;
24.04.2023 22:34:56.225;-0,0002294;24.04.2023 22:34:56.257;13,1337891;
24.04.2023 22:34:56.289;-0,0002904;24.04.2023 22:34:56.321;13,1337891;
24.04.2023 22:34:56.353;-0,000272;24.04.2023 22:34:56.385;13,1337891;
24.04.2023 22:34:56.417;-0,0002379;24.04.2023 22:34:56.449;13,1337891;
24.04.2023 22:34:56.481;-0,000263;24.04.2023 22:34:56.513;13,1337891;
24.04.2023 22:34:56.551;-0,0002907;24.04.2023 22:34:56.577;13,1337891;
24.04.2023 22:34:56.609;-0,000255;24.04.2023 22:34:56.641;13,1337891;
